2021-06-26 16:16:51.514 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1624695411512 with initial instances count: 0
2021-06-26 16:16:51.519 [main] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Registering application YIYI-BAMS-BOOT with eureka with status UP
2021-06-26 16:16:51.520 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1624695411520, current=UP, previous=STARTING]
2021-06-26 16:16:51.523 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_YIYI-BAMS-BOOT/CN01L0201000968.ebaotech.com:yiyi-bams-boot:9020: registering service...
2021-06-26 16:16:51.538 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9020"]
2021-06-26 16:16:51.570 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9020 (http) with context path ''
2021-06-26 16:16:51.571 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 9020
2021-06-26 16:16:51.668 [main] INFO  com.yiyi.BamsBootApplication - Started BamsBootApplication in 10.913 seconds (JVM running for 11.914)
2021-06-26 16:17:21.519 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2021-06-26 16:17:21.519 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2021-06-26 16:17:21.519 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2021-06-26 16:17:21.519 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2021-06-26 16:17:21.520 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2021-06-26 16:17:21.520 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2021-06-26 16:17:21.532 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
